cid_value,country_value,region_value,rating_value
"6570717559","United States","Americas","Good"
"6244901985","India","Asia Pacific","Good"
"1880735310","Austria","Europe","Good"
"9212276579","United Kingdom","Europe","Good"
"4642710375","Czech Republic","Europe","Good"
"8472995067","Australia","Asia Pacific","Good"
"2950426610","United States","Americas","Good"
"6065092163","Nigeria","Middle East and Africa","Good"
"8803029414","United States","Americas","Good"
"4018853504","United States","Americas","Good"
"8235581687","United States","Americas","Good"
"8797719304","Czech Republic","Europe","Good"
"5133774820","Armenia","Europe","Good"
"8137724379","Austria","Europe","Good"
"4886169624","United States","Americas","Good"
"3386902381","Italy","Europe","Good"
"1678925659","Australia","Asia Pacific","Good"
"4043657338","United States","Americas","Good"
"8744778989","France","Europe","Good"
"3127355824","Belgium","Europe","Good"
"1752312967","Italy","Europe","Good"
"9933824310","Lithuania","Europe","Good"
"6268059351","Australia","Asia Pacific","Good"
"9696895126","Ghana","Middle East and Africa","Good"
"8431556363","Ireland","Europe","Good"
"3263862016","Poland","Europe","Good"
"2572769622","Germany","Europe","Good"
"5924121318","Italy","Europe","Good"
"4562166008","United States","Americas","Good"
"9435599967","Germany","Europe","Good"
"3323843071","Spain","Europe","Good"
"8226993779","Switzerland","Europe","Good"
"9512990424","United States","Americas","Good"
"9911895406","United States","Americas","Good"
"5628685426","Czech Republic","Europe","Good"
"6701893783","Australia","Asia Pacific","Good"
"8915457128","Canada","Americas","Good"
"6375010512","Austria","Europe","Good"
"9660275710","Spain","Europe","Good"
"8953144236","United States","Americas","Good"
"2628656740","Austria","Europe","Good"
"2130726510","United States","Americas","Good"
"2779977332","United Kingdom","Europe","Good"
"3880698953","Czech Republic","Europe","Good"
"4756053528","India","Asia Pacific","Good"
"1810932212","United States","Americas","Good"
"5842365508","Germany","Europe","Good"
"2303872924","Ireland","Europe","Good"
"4006279471","United States","Americas","Good"
"2882191481","Italy","Europe","Good"
"4570954402","Poland","Europe","Good"
"3233069063","Australia","Asia Pacific","Good"
"2684654504","Austria","Europe","Good"
"3192109830","United States","Americas","Good"
"3592192212","United Kingdom","Europe","Good"
"6022157363","United States","Americas","Good"
"1336365512","France","Europe","Good"
"4615361663","United States","Americas","Good"
"3124374030","India","Asia Pacific","Good"
"5616985220","United States","Americas","Good"
"7023391289","United States","Americas","Good"
"5629163006","Finland","Europe","Good"
"2789598889","United States","Americas","Good"
"2558178410","France","Europe","Good"
"4426251824","United States","Americas","Good"
"5127428222","India","Asia Pacific","Good"
"2688137518","Greece","Europe","Good"
"9267247310","Netherlands","Europe","Good"
"3147310104","France","Europe","Good"
"9306054130","India","Asia Pacific","Good"
"6183350122","Netherlands","Europe","Good"
"1503889736","India","Asia Pacific","Good"
"6223034551","Lithuania","Europe","Good"
"4522947808","India","Asia Pacific","Good"
"9923842440","Germany","Europe","Good"
"9732440224","India","Asia Pacific","Good"
"4990438777","United States","Americas","Good"
"7281603463","France","Europe","Good"
"2970536930","Hungary","Europe","Good"
"2678082832","Ireland","Europe","Good"
"1881060632","United States","Americas","Good"
"5091765857","United States","Americas","Good"
"3495938812","Australia","Asia Pacific","Good"
"5738467071","Italy","Europe","Good"
"3953083816","France","Europe","Good"
"5302242853","Belgium","Europe","Good"
"1703419304","United States","Americas","Good"
"7276067336","United States","Americas","Good"
"7751892759","Switzerland","Europe","Good"
"1897383422","France","Europe","Good"
"1489243675","Spain","Europe","Good"
"2228626373","Netherlands","Europe","Good"
"9300027181","Belgium","Europe","Good"
"9456317428","Poland","Europe","Good"
"5656910804","Switzerland","Europe","Good"
"9359374616","United States","Americas","Good"
"1500560871","India","Asia Pacific","Good"
"7014821353","Italy","Europe","Good"
"5208287508","Finland","Europe","Good"
"1889269312","France","Europe","Good"
"1708697257","France","Europe","Good"
"2861341620","Chile","Americas","Good"
"2821243920","United States","Americas","Good"
"5582922981","United Kingdom","Europe","Good"
"2964135483","Switzerland","Europe","Good"
"3205829106","United States","Americas","Good"
"6961026126","Hungary","Europe","Good"
"3328114802","United States","Americas","Good"
"3608535808","United Kingdom","Europe","Good"
"5934458771","South Africa","Middle East and Africa","Good"
"7245272487","Poland","Europe","Good"
"1236796489","Japan","Asia Pacific","Good"
"9953305740","Germany","Europe","Good"
"8395703910","Peru","Americas","Good"
"1663285665","Mauritius","Middle East and Africa","Good"
"4446919161","Germany","Europe","Good"
"1669012828","Portugal","Europe","Good"
"7801174157","Netherlands","Europe","Good"
"3984546328","United States","Americas","Good"
"7258607810","United States","Americas","Good"
"2413995967","United States","Americas","Good"
"9704571377","United States","Americas","Good"
"3549043679","Saudi Arabia","Middle East and Africa","Good"
"4302594863","Nigeria","Middle East and Africa","Good"
"4210473230","France","Europe","Good"
"5770664389","Lithuania","Europe","Good"
"9594855932","France","Europe","Good"
"8092458424","Mauritius","Middle East and Africa","Good"
"3100475232","Netherlands","Europe","Good"
"2130698140","United States","Americas","Good"
"1786882104","Canada","Americas","Good"
"6878825836","United States","Americas","Good"
"9048898302","Germany","Europe","Good"
"4726639404","Switzerland","Europe","Good"
"9427252271","Switzerland","Europe","Good"
"1867218416","Netherlands","Europe","Good"
"5870580483","Croatia","Europe","Good"
"4927041851","France","Europe","Good"
"9409371910","France","Europe","Good"
"6053147020","France","Europe","Good"
"4963947816","Netherlands","Europe","Good"
"8863750953","Canada","Americas","Good"
"8363049818","United States","Americas","Good"
"5643288932","United States","Americas","Good"
"5204969989","Germany","Europe","Good"
"4010943667","United States","Americas","Good"
"1278803561","Denmark","Europe","Good"
"8729650618","Spain","Europe","Good"
"6674653826","United States","Americas","Good"
"1379241681","Finland","Europe","Good"
"4765004583","United States","Americas","Good"
"9184142932","Mauritius","Middle East and Africa","Good"
"6575417689","Mauritius","Middle East and Africa","Good"
"6744015283","India","Asia Pacific","Good"
"4398853936","United States","Americas","Good"
"4352267783","Canada","Americas","Good"
"3991115161","France","Europe","Good"
"3807231265","Turkey","Middle East and Africa","Good"
"2033976620","Italy","Europe","Good"
"1186702734","United Kingdom","Europe","Good"
"5401110165","Uganda","Middle East and Africa","Good"
"1924909928","Belgium","Europe","Good"
"3884510128","United States","Americas","Good"
"3577120581","India","Asia Pacific","Good"
"3747916930","United States","Americas","Good"
"8077963673","United States","Americas","Good"
"5677716214","France","Europe","Good"
"6618753471","United States","Americas","Good"
"8325538608","Australia","Asia Pacific","Good"
"8709246185","Ireland","Europe","Good"
"6989127616","United States","Americas","Good"
"7093045916","United States","Americas","Good"
"2961931055","Switzerland","Europe","Good"
"8782888828","Australia","Asia Pacific","Good"
"8796425585","France","Europe","Good"
"6761936308","United States","Americas","Good"
"7033615257","France","Europe","Good"
"5573178479","France","Europe","Good"
"7832648963","Ireland","Europe","Good"
"2457633426","Australia","Asia Pacific","Good"
"2033985132","United States","Americas","Good"
"3934851659","France","Europe","Good"
"1062257061","France","Europe","Good"
"1393310867","Switzerland","Europe","Good"
"5990841436","Netherlands","Europe","Good"
"7656333506","United States","Americas","Good"
"3277298530","Finland","Europe","Good"
"4639860981","Netherlands","Europe","Good"
"2650242355","Belgium","Europe","Good"
"7467864851","Morocco","Middle East and Africa","Good"
"4531366434","France","Europe","Needs Improvement"
"9150034351","India","Asia Pacific","Needs Improvement"
"2055639781","India","Asia Pacific","Needs Improvement"
"5673988263","France","Europe","Needs Improvement"
"2148390304","United States","Americas","Needs Improvement"
"9482122759","United States","Americas","Needs Improvement"
"1322815518","Netherlands","Europe","Needs Improvement"
"5841911573","United States","Americas","Needs Improvement"
"4669246730","Peru","Americas","Needs Improvement"
"4068614373","Switzerland","Europe","Needs Improvement"
"2342619222","United States","Americas","Needs Improvement"
"1808046879","United States","Americas","Needs Improvement"
"3858622526","United Kingdom","Europe","Needs Improvement"
"2630496130","United States","Americas","Needs Improvement"
"2720416169","Belgium","Europe","Needs Improvement"
"7613899926","Netherlands","Europe","Needs Improvement"
"1494938681","France","Europe","Needs Improvement"
"3454808406","Singapore","Asia Pacific","Needs Improvement"
"1619019316","Nigeria","Middle East and Africa","Needs Improvement"
"3050659514","United States","Americas","Needs Improvement"
"5081424622","Switzerland","Europe","Needs Improvement"
"3949489208","Australia","Asia Pacific","Needs Improvement"
"2205852012","Netherlands","Europe","Needs Improvement"
"2134712640","Ireland","Europe","Needs Improvement"
"4524539422","Hungary","Europe","Needs Improvement"
"7008512585","United States","Americas","Needs Improvement"
"2862236253","Croatia","Europe","Needs Improvement"
"5573888702","Cameroon","Middle East and Africa","Needs Improvement"
"9963607259","France","Europe","Needs Improvement"
"4925355667","Singapore","Asia Pacific","Needs Improvement"
"3975096887","United States","Americas","Needs Improvement"
"4821283218","United States","Americas","Needs Improvement"
"7957294179","United States","Americas","Needs Improvement"
"6984267659","Netherlands","Europe","Needs Improvement"
"6276055251","United States","Americas","Needs Improvement"
"2517953040","United States","Americas","Needs Improvement"
"7877548932","United States","Americas","Needs Improvement"
"5855061538","South Africa","Middle East and Africa","Needs Improvement"
"1530136708","Australia","Asia Pacific","Needs Improvement"
"7148263475","India","Asia Pacific","Needs Improvement"
"9444771371","France","Europe","Needs Improvement"
"8425541708","Norway","Europe","Needs Improvement"
"4084736677","Ireland","Europe","Needs Improvement"
"5553717855","Netherlands","Europe","Needs Improvement"
"9658589526","France","Europe","Needs Improvement"
"2836180312","Austria","Europe","Needs Improvement"
"6379197128","Finland","Europe","Needs Improvement"
"3299457238","France","Europe","Needs Improvement"
"8049499036","Ireland","Europe","Needs Improvement"
"9905868457","France","Europe","Needs Improvement"
"8930593063","United States","Americas","Needs Improvement"
"7999985938","Nigeria","Middle East and Africa","Needs Improvement"
"4199646851","Australia","Asia Pacific","Needs Improvement"
"4597623157","Germany","Europe","Needs Improvement"
"1607466638","Netherlands","Europe","Needs Improvement"
"9236930989","Austria","Europe","Needs Improvement"
"4918700771","Mauritius","Middle East and Africa","Needs Improvement"
"7195828428","France","Europe","Needs Improvement"
"9714383022","Netherlands","Europe","Needs Improvement"
"1974112832","Netherlands","Europe","Needs Improvement"
"9375860067","Czech Republic","Europe","Needs Improvement"
"2301232528","Chile","Americas","Needs Improvement"
"5320349236","Australia","Asia Pacific","Needs Improvement"
"8333739724","Czech Republic","Europe","Needs Improvement"
"2961722057","Ireland","Europe","Needs Improvement"
"2234616440","United States","Americas","Needs Improvement"
"7980867655","Brazil","Americas","Needs Improvement"
"3945794357","United States","Americas","Needs Improvement"
"5963505961","United States","Americas","Needs Improvement"
"1364508614","United States","Americas","Needs Improvement"
"5838821024","Austria","Europe","Needs Improvement"
"9457885402","United Kingdom","Europe","Needs Improvement"
"6042334826","Ghana","Middle East and Africa","Needs Improvement"
"4532964669","Ecuador","Americas","Needs Improvement"
"7522495132","Malaysia","Asia Pacific","Needs Improvement"
"1850655414","France","Europe","Needs Improvement"
"5107619579","Netherlands","Europe","Needs Improvement"
"7618344716","India","Asia Pacific","Needs Improvement"
"5306284775","France","Europe","Needs Improvement"
"3906554408","Netherlands","Europe","Needs Improvement"
"7849272487","United States","Americas","Needs Improvement"
"9954182406","United States","Americas","Needs Improvement"
"5060619212","United States","Americas","Needs Improvement"
"4305736479","France","Europe","Needs Improvement"
"2465902628","India","Asia Pacific","Needs Improvement"
"4294480753","Ireland","Europe","Needs Improvement"
"2406178804","Netherlands","Europe","Needs Improvement"
"3746189134","France","Europe","Needs Improvement"
"1548413316","India","Asia Pacific","Needs Improvement"
"4993372338","Uganda","Middle East and Africa","Needs Improvement"
"2598909730","France","Europe","Needs Improvement"
"8000218581","United States","Americas","Needs Improvement"
"6842039034","United States","Americas","Needs Improvement"
"9623485126","Canada","Americas","Needs Improvement"
"2653641202","Kazakhstan","Asia Pacific","Needs Improvement"
"6890949716","France","Europe","Needs Improvement"
"7240610187","United States","Americas","Needs Improvement"
"3363093428","Canada","Americas","Needs Improvement"
"3384643104","United States","Americas","Needs Improvement"
"6541425432","Switzerland","Europe","Needs Improvement"
"1430453257","United States","Americas","Needs Improvement"
"4259436875","Switzerland","Europe","Needs Improvement"
"3081470434","Greece","Europe","Needs Improvement"
"3968024938","France","Europe","Needs Improvement"
"8000826665","Mauritius","Middle East and Africa","Needs Improvement"
"8334906716","Finland","Europe","Needs Improvement"
"1556173734","India","Asia Pacific","Needs Improvement"
"4568908853","France","Europe","Needs Improvement"
"2621570606","India","Asia Pacific","Needs Improvement"
"2999366610","Ireland","Europe","Needs Improvement"
"6944490551","Singapore","Asia Pacific","Needs Improvement"
"4605480036","United States","Americas","Needs Improvement"
"3608973667","Ireland","Europe","Needs Improvement"
"4072276124","France","Europe","Needs Improvement"
"5217471206","United States","Americas","Needs Improvement"
"9861622914","France","Europe","Needs Improvement"
"7820875936","Singapore","Asia Pacific","Needs Improvement"
"4155313359","United States","Americas","Needs Improvement"
"9884159902","Germany","Europe","Needs Improvement"
"1400362010","Spain","Europe","Needs Improvement"
"1818254771","United States","Americas","Needs Improvement"
"4343870906","France","Europe","Needs Improvement"
"5212328487","Ireland","Europe","Needs Improvement"
"1705844081","Switzerland","Europe","Needs Improvement"
"7899276402","Germany","Europe","Needs Improvement"
"6968349628","Switzerland","Europe","Needs Improvement"
"8029543808","Ireland","Europe","Needs Improvement"
"3746226016","Switzerland","Europe","Needs Improvement"
"7883059528","United States","Americas","Needs Improvement"
"7445852728","United States","Americas","Needs Improvement"
"2300640520","Czech Republic","Europe","Needs Improvement"
"4830252240","Slovenia","Europe","Needs Improvement"
"2250364251","Germany","Europe","Needs Improvement"
"7172794002","United States","Americas","Needs Improvement"
"5722537689","Poland","Europe","Needs Improvement"
"3841440089","United States","Americas","Needs Improvement"
"7088484802","Ireland","Europe","Needs Improvement"
"3953342938","Ireland","Europe","Needs Improvement"
"2675491612","United States","Americas","Needs Improvement"
"2893227806","United States","Americas","Needs Improvement"
"6023562671","Kenya","Middle East and Africa","Needs Improvement"
"3434920326","India","Asia Pacific","Needs Improvement"
"5357139820","Ghana","Middle East and Africa","Needs Improvement"
"2541000708","Canada","Americas","Needs Improvement"
"1033407518","France","Europe","Needs Improvement"
"7616794714","United States","Americas","Needs Improvement"
"7603109481","Australia","Asia Pacific","Needs Improvement"
"4714902316","Australia","Asia Pacific","Needs Improvement"
"3532150630","Chile","Americas","Needs Improvement"
"5195342759","United States","Americas","Needs Improvement"
"4742559326","United States","Americas","Needs Improvement"
"1596165518","United States","Americas","Needs Improvement"
"7680429008","Peru","Americas","Needs Improvement"
"1952145155","Greece","Europe","Needs Improvement"
"5219355985","Ghana","Middle East and Africa","Needs Improvement"
"1472704318","Belgium","Europe","Needs Improvement"
"7486291826","Chile","Americas","Needs Improvement"
"3872444879","Bulgaria","Europe","Needs Improvement"
"2160053628","Canada","Americas","Needs Improvement"
"5423721865","United States","Americas","Needs Improvement"
"9163137979","Saudi Arabia","Middle East and Africa","Needs Improvement"
"9518222040","United States","Americas","Needs Improvement"
"6204133783","United States","Americas","Needs Improvement"
"7111069075","United States","Americas","Needs Improvement"
"8773711751","Cameroon","Middle East and Africa","Needs Improvement"
"9119113728","France","Europe","Needs Improvement"
"3234569889","India","Asia Pacific","Needs Improvement"
"1240327736","United States","Americas","Needs Improvement"
"1115141579","Netherlands","Europe","Needs Improvement"
"8154904920","Norway","Europe","Needs Improvement"
"8063664683","Australia","Asia Pacific","Needs Improvement"
"7755375773","Greece","Europe","Needs Improvement"
"4041616514","Ghana","Middle East and Africa","Needs Improvement"
"9513440577","United States","Americas","Needs Improvement"
"9470960655","Switzerland","Europe","Needs Improvement"
"3434745371","France","Europe","Needs Improvement"
"6251174814","India","Asia Pacific","Needs Improvement"
"3844966606","United States","Americas","Needs Improvement"
"9847777859","United States","Americas","Needs Improvement"
"6580010012","Ireland","Europe","Needs Improvement"
"6301277081","France","Europe","Needs Improvement"
"4695426559","Ireland","Europe","Needs Improvement"
"7323708887","Switzerland","Europe","Needs Improvement"
"8231734573","Finland","Europe","Needs Improvement"
"1446751459","Ecuador","Americas","Needs Improvement"
"2452565414","Greece","Europe","Needs Improvement"
"7015310279","United States","Americas","Needs Improvement"
"4920815359","India","Asia Pacific","Needs Improvement"
"9667561387","France","Europe","Needs Improvement"
"6989864318","Canada","Americas","Needs Improvement"
"2432886332","United States","Americas","Needs Improvement"
"2350408010","United States","Americas","Needs Improvement"
"2366993704","Chile","Americas","Needs Improvement"
"7630868630","United States","Americas","Needs Improvement"
"2156362559","Mauritius","Middle East and Africa","Needs Improvement"
"4498648981","United States","Americas","Needs Improvement"
"2794525989","Switzerland","Europe","Needs Improvement"
"3441769087","France","Europe","Needs Improvement"
"9963208173","Netherlands","Europe","Needs Improvement"
"4396280683","Australia","Asia Pacific","Needs Improvement"
"1051562134","Netherlands","Europe","Needs Improvement"
"5552384420","Canada","Americas","Needs Improvement"
"2395245561","Germany","Europe","Needs Improvement"
"1798391279","United Kingdom","Europe","Needs Improvement"
"5227781232","France","Europe","Needs Improvement"
"7396858822","France","Europe","Needs Improvement"
"1238787189","United States","Americas","Needs Improvement"
"2372237614","Italy","Europe","Needs Improvement"
"4708830916","Australia","Asia Pacific","Needs Improvement"
"3376184757","France","Europe","Needs Improvement"
"2712752212","United States","Americas","Needs Improvement"
"6038622008","Canada","Americas","Needs Improvement"
"5182944624","France","Europe","Needs Improvement"
"6805214402","Japan","Asia Pacific","Needs Improvement"
"2301089730","United Kingdom","Europe","Needs Improvement"
"4315556636","Ireland","Europe","Needs Improvement"
"6483127722","Germany","Europe","Needs Improvement"
"6700881883","Germany","Europe","Needs Improvement"
"2739945832","Netherlands","Europe","Needs Improvement"
"5903745255","Switzerland","Europe","Needs Improvement"
"4216998565","United States","Americas","Needs Improvement"
"9961901212","Mauritius","Middle East and Africa","Needs Improvement"
"7613508404","United States","Americas","Needs Improvement"
"8916841630","Austria","Europe","Needs Improvement"
"9041658967","United States","Americas","Needs Improvement"
"3795382583","Czech Republic","Europe","Needs Improvement"
"7258091457","Germany","Europe","Needs Improvement"
"2401414365","Australia","Asia Pacific","Needs Improvement"
"4387613338","Macedonia","Europe","Needs Improvement"
"1169296171","Ireland","Europe","Needs Improvement"
"5760722240","Netherlands","Europe","Needs Improvement"
"6019429961","United States","Americas","Needs Improvement"
"8946254806","United States","Americas","Needs Improvement"
"8917959451","Netherlands","Europe","Needs Improvement"
"7473084173","Australia","Asia Pacific","Needs Improvement"
"3033279430","Aruba","Americas","Needs Improvement"
"3650179728","Hungary","Europe","Needs Improvement"
"9638188875","Austria","Europe","Needs Improvement"
"8366402328","United States","Americas","Needs Improvement"
"3028573622","Nigeria","Middle East and Africa","Needs Improvement"
"4917896926","Nigeria","Middle East and Africa","Needs Improvement"
"2787303673","Portugal","Europe","Needs Improvement"
"9990452855","Poland","Europe","Needs Improvement"
"9846675171","Australia","Asia Pacific","Needs Improvement"
"2229680828","United States","Americas","Needs Improvement"
"7736161977","United States","Americas","Needs Improvement"
"3026452418","United States","Americas","Needs Improvement"
"7015146675","Canada","Americas","Needs Improvement"
"7134238740","United States","Americas","Needs Improvement"
"8142014077","United States","Americas","Needs Improvement"
"2245178967","Poland","Europe","Needs Improvement"
"8127716030","France","Europe","Needs Improvement"
"9490487479","United States","Americas","Needs Improvement"
"7098456269","Netherlands","Europe","Needs Improvement"
"9212644461","United States","Americas","Needs Improvement"
"9241085453","Spain","Europe","Needs Improvement"
"1115671169","Switzerland","Europe","Needs Improvement"
"6852272457","France","Europe","Needs Improvement"
"4262563363","United States","Americas","Needs Improvement"
"6574471989","United States","Americas","Needs Improvement"
"1839426167","United States","Americas","Needs Improvement"
"8531550008","Netherlands","Europe","Needs Improvement"
"4834493710","Australia","Asia Pacific","Needs Improvement"
"6188135367","Ireland","Europe","Needs Improvement"
"4958495851","South Africa","Middle East and Africa","Needs Improvement"
"7341563712","Canada","Americas","Needs Improvement"
"7568389034","United States","Americas","Needs Improvement"
"4592462471","Canada","Americas","Needs Improvement"
"7759910408","United States","Americas","Needs Improvement"
"9605391985","United States","Americas","Needs Improvement"
"4086437989","Poland","Europe","Needs Improvement"
"8690461736","United States","Americas","Needs Improvement"
"7880486275","Australia","Asia Pacific","Needs Improvement"
"7853239702","Portugal","Europe","Needs Improvement"
"9518268377","France","Europe","Needs Improvement"
"5984819212","Australia","Asia Pacific","Needs Improvement"
"9579573412","Portugal","Europe","Needs Improvement"
"4982853314","France","Europe","Needs Improvement"
"8754464855","United States","Americas","Needs Improvement"
"4036239261","Italy","Europe","Needs Improvement"
"8193255914","Ireland","Europe","Needs Improvement"
"7045043104","Australia","Asia Pacific","Needs Improvement"
"7889319120","Ireland","Europe","Needs Improvement"
"1203771681","Egypt","Middle East and Africa","Needs Improvement"
"7040508469","United States","Americas","Needs Improvement"
"6788088710","United Kingdom","Europe","Needs Improvement"
"6210961738","United States","Americas","Needs Improvement"
"2342511410","Czech Republic","Europe","Needs Improvement"
"6441637951","United States","Americas","Needs Improvement"
"2860646530","Slovenia","Europe","Needs Improvement"
"5704956171","Nigeria","Middle East and Africa","Needs Improvement"
"3615779873","United States","Americas","Needs Improvement"
"1381193608","United States","Americas","Needs Improvement"
"1749522204","India","Asia Pacific","Needs Improvement"
"6857053920","United States","Americas","Needs Improvement"
"8699017487","India","Asia Pacific","Needs Improvement"
"5608084289","Canada","Americas","Needs Improvement"
"2520452524","France","Europe","Needs Improvement"
"8496890083","Canada","Americas","Needs Improvement"
"1160445359","United States","Americas","Needs Improvement"
"5498843585","Ireland","Europe","Needs Improvement"
"9868982355","Lithuania","Europe","Needs Improvement"
"7225907381","Canada","Americas","Needs Improvement"
"6589227753","Spain","Europe","Needs Improvement"
"2617022734","France","Europe","Needs Improvement"
"2551260610","Portugal","Europe","Needs Improvement"
"9507631138","France","Europe","Needs Improvement"
"4435806238","Ireland","Europe","Needs Improvement"
"3577561279","Italy","Europe","Needs Improvement"
"6717566877","Germany","Europe","Needs Improvement"
"3650475732","France","Europe","Needs Improvement"
"2954460020","Singapore","Asia Pacific","Needs Improvement"
"6432151628","Nigeria","Middle East and Africa","Needs Improvement"
"9016769075","United States","Americas","Needs Improvement"
"5522764132","United States","Americas","Needs Improvement"
"1976018422","Netherlands","Europe","Needs Improvement"
"5778909951","India","Asia Pacific","Needs Improvement"
"1441455534","Germany","Europe","Needs Improvement"
"4440608502","Greece","Europe","Needs Improvement"
"9961118173","Hungary","Europe","Needs Improvement"
"7791119471","United States","Americas","Needs Improvement"
"2307657620","Netherlands","Europe","Needs Improvement"
"5410918971","Norway","Europe","Needs Improvement"
"7965287240","Australia","Asia Pacific","Needs Improvement"
"8307484240","Ireland","Europe","Needs Improvement"
"4701716412","Portugal","Europe","Needs Improvement"
"6668224957","Canada","Americas","Needs Improvement"
"5103511457","United States","Americas","Needs Improvement"
"6307512085","United States","Americas","Needs Improvement"
"5883639665","United States","Americas","Needs Improvement"
"7256667234","United States","Americas","Needs Improvement"
"1383987210","Canada","Americas","Needs Improvement"
"3571480424","Canada","Americas","Needs Improvement"
"5845143034","Ireland","Europe","Needs Improvement"
"7106987432","United States","Americas","Needs Improvement"
"6579697932","United States","Americas","Needs Improvement"
"8101121987","Ghana","Middle East and Africa","Needs Improvement"
"2159615769","France","Europe","Needs Improvement"
"4008952967","Ireland","Europe","Needs Improvement"
"1891459555","United States","Americas","Needs Improvement"
"1386071532","United States","Americas","Needs Improvement"
"3913590418","Germany","Europe","Needs Improvement"
"1255901530","Belgium","Europe","Needs Improvement"
"1821282902","Germany","Europe","Needs Improvement"
"6818385173","Switzerland","Europe","Needs Improvement"
"3925486385","Ireland","Europe","Needs Improvement"
"6150971228","United States","Americas","Needs Improvement"
"9928817773","United States","Americas","Needs Improvement"
"5207187659","United States","Americas","Needs Improvement"
"7042994716","United States","Americas","Needs Improvement"
"8031304704","United States","Americas","Needs Improvement"
"9304996836","Germany","Europe","Needs Improvement"
"7493614385","Portugal","Europe","Needs Improvement"
"2823106002","Brazil","Americas","Needs Improvement"
"3795107385","Ireland","Europe","Needs Improvement"
"4470255269","Hungary","Europe","Needs Improvement"
"2186864238","Ireland","Europe","Needs Improvement"
"2164442626","United States","Americas","Needs Improvement"
"4325403267","France","Europe","Needs Improvement"
"1475399563","India","Asia Pacific","Needs Improvement"
"3561284826","Greece","Europe","Needs Improvement"
"2044239361","France","Europe","Needs Improvement"
"4559501024","France","Europe","Needs Improvement"
"9821598030","France","Europe","Needs Improvement"
"2977476479","Nigeria","Middle East and Africa","Needs Improvement"
"4649187477","United States","Americas","Needs Improvement"
"7129527259","United States","Americas","Needs Improvement"
"4801328938","United States","Americas","Needs Improvement"
"7239501826","United States","Americas","Needs Improvement"
"6557194987","Germany","Europe","Needs Improvement"
"3189839202","Australia","Asia Pacific","Needs Improvement"
"2539798720","Mauritius","Middle East and Africa","Needs Improvement"
"4156301614","Australia","Asia Pacific","Needs Improvement"
"4638753563","Greece","Europe","Needs Improvement"
"3862596357","United States","Americas","Needs Improvement"
"8494769822","Saudi Arabia","Middle East and Africa","Needs Improvement"
"5062253381","United States","Americas","Needs Improvement"
"2793400604","United Kingdom","Europe","Needs Improvement"
"6191921006","Ireland","Europe","Needs Improvement"
"9540493285","Ireland","Europe","Needs Improvement"
"4262517969","Canada","Americas","Needs Improvement"
"9382065753","Netherlands","Europe","Needs Improvement"
"3100242589","Greece","Europe","Needs Improvement"
"4098636581","Portugal","Europe","Needs Improvement"
"5095520287","Mauritius","Middle East and Africa","Needs Improvement"
"5485960306","United States","Americas","Needs Improvement"
"4092208655","Ireland","Europe","Needs Improvement"
"2159262077","Germany","Europe","Needs Improvement"
"2491595422","United States","Americas","Needs Improvement"
"5690282683","United States","Americas","Needs Improvement"
"4883717420","United States","Americas","Needs Improvement"
"9968827524","Netherlands","Europe","Needs Improvement"
"9567978179","Lebanon","Middle East and Africa","Needs Improvement"
"1288741928","United States","Americas","Needs Improvement"
"9924157359","France","Europe","Needs Improvement"
"3158902508","Germany","Europe","Needs Improvement"
"4967818565","France","Europe","Needs Improvement"
"1415012806","United States","Americas","Needs Improvement"
"4685880657","India","Asia Pacific","Needs Improvement"
"4877590228","United States","Americas","Needs Improvement"
"6673816881","Slovenia","Europe","Needs Improvement"
"8418344928","United States","Americas","Needs Improvement"
"4557180277","United States","Americas","Needs Improvement"
"9220494714","Norway","Europe","Needs Improvement"
"4654151459","Italy","Europe","Needs Improvement"
"2346093724","United States","Americas","Needs Improvement"
"6806202657","France","Europe","Needs Improvement"
"1489356212","France","Europe","Needs Improvement"
"5515849171","United States","Americas","Needs Improvement"
"4144706381","Ireland","Europe","Needs Improvement"
"5809569561","Switzerland","Europe","Needs Improvement"
"7343912834","United States","Americas","Needs Improvement"
"8634186883","United States","Americas","Needs Improvement"
"5088043579","France","Europe","Needs Improvement"
"7250991138","Australia","Asia Pacific","Needs Improvement"
"5561511373","United Kingdom","Europe","Needs Improvement"
"4527017157","Turkey","Middle East and Africa","Needs Improvement"
"8100321924","Norway","Europe","Needs Improvement"
"4336136024","United States","Americas","Needs Improvement"
"8923004761","Norway","Europe","Needs Improvement"
"3577770277","United States","Americas","Needs Improvement"
"9198432467","Portugal","Europe","Needs Improvement"
"5538340765","France","Europe","Needs Improvement"
"5906182326","Ireland","Europe","Needs Improvement"
"8897969232","Ireland","Europe","Poor"
"9790176187","United States","Americas","Poor"
"3500382659","United States","Americas","Poor"
"3442709114","Turkey","Middle East and Africa","Poor"
"1247311736","United States","Americas","Poor"
"9951184536","United States","Americas","Poor"
"6538015234","France","Europe","Poor"
"4627532828","United States","Americas","Poor"
"3406665630","Kenya","Middle East and Africa","Poor"
"3551025867","United States","Americas","Poor"
"2136511361","Saudi Arabia","Middle East and Africa","Poor"
"4994707669","United States","Americas","Poor"
"6826835008","Netherlands","Europe","Poor"
"4620210269","United States","Americas","Poor"
"9578673106","United States","Americas","Poor"
"1085336881","United States","Americas","Poor"
"1220939928","Germany","Europe","Poor"
"7073516253","Germany","Europe","Poor"
